"_id","Name","Direction","FarEndPoint","StartPoint","EndPoint","EstimatedTime","CreateDate"
"110185379","PIE",2,"CHANGI AIRPORT","TAMPINES ST 31","PIE/TPE INTERCHANGE",1,1455722170520
"110185380","PIE",2,"CHANGI AIRPORT","PIE/TPE INTERCHANGE","PIE/ECP INTERCHANGE",2,1455722170523
"110185381","SLE",1,"BKE","CTE/SLE INTERCHANGE ","YISHUN",2,1455722170530
"110185382","SLE",1,"BKE","YISHUN","UPPER THOMSON",2,1455722170537
"110185383","SLE",1,"BKE","UPPER THOMSON","MANDIA RD",3,1455722170540
"110185384","SLE",1,"BKE","MANDIA RD","WOODLANDS AVE 12",1,1455722170550
"110185385","SLE",1,"BKE","WOODLANDS AVE 12","WOODLANDS AVE 2",1,1455722170553
"110185386","SLE",1,"BKE","WOODLANDS AVE 2","BKE/SLE INTERCHANGE",1,1455722170560
"110185387","SLE",2,"CTE","BKE/SLE INTERCHANGE","WOODLANDS AVE 2",1,1455722170567
"110185388","SLE",2,"CTE","WOODLANDS AVE 2","WOODLANDS AVE 12",1,1455722170573
"110185389","SLE",2,"CTE","WOODLANDS AVE 12","MANDAI RD",1,1455722170580
"110185390","SLE",2,"CTE","MANDAI RD","UPPER THOMSON",2,1455722170587
"110185391","SLE",2,"CTE","UPPER THOMSON","LENTOR AVE",1,1455722170593
"110185392","SLE",2,"CTE","LENTOR AVE","TPE/PIE INTERCHANGE",2,1455722170600
"110185393","SLE",2,"CTE","TPE/PIE INTERCHANGE","YIO CHU KANG",1,1455722170603
"110185394","SLE",2,"CTE","YIO CHU KANG","CTE/SLE INTERCHANGE",1,1455722170610
"110185395","TPE",1,"CTE/SLE","PIE/TPE INTERCHANGE","TAMPINES AVE 7",1,1455722170617
"110185396","TPE",1,"CTE/SLE","TAMPINES AVE 7","TAMPINES AVE 12",2,1455722170623
"110185397","TPE",1,"CTE/SLE","TAMPINES AVE 12","PASIR RIS DRIVE 8",0,1455722170630
"110185398","TPE",1,"CTE/SLE","PASIR RIS DRIVE 8","TAMPINES ROAD",1,1455722170637
"110185399","TPE",1,"CTE/SLE","TAMPINES ROAD","TAMPINES AVE 10",1,1455722170640
"110185400","TPE",1,"CTE/SLE","TAMPINES AVE 10","LOR HALUS",1,1455722170647
